date,price
2017. 1. 2,155400
2017. 1. 3,153400
2017. 1. 4,162000
2017. 1. 5,158200
2017. 1. 6,159800
2017. 1. 9,155800
2017. 1. 10,158400
2017. 1. 11,159200
2017. 1. 12,160400
2017. 1. 13,158000
2017. 1. 16,158800
2017. 1. 17,159000
2017. 1. 18,157600
2017. 1. 19,160200
2017. 1. 20,157000
2017. 1. 23,154200
2017. 1. 24,152200
2017. 1. 25,152600
2017. 1. 26,150600
2017. 1. 31,151600
2017. 2. 1,154200
2017. 2. 2,154400
2017. 2. 3,154800
2017. 2. 6,155800
2017. 2. 7,160000
2017. 2. 8,159000
2017. 2. 9,157400
2017. 2. 10,159000
2017. 2. 13,159000
2017. 2. 14,154000
2017. 2. 15,154600
2017. 2. 16,155400
2017. 2. 17,156000
2017. 2. 20,156200
2017. 2. 21,158000
2017. 2. 22,159400
2017. 2. 23,161600
2017. 2. 24,160600
2017. 2. 27,159200
2017. 2. 28,155200
2017. 3. 2,163000
2017. 3. 3,161800
2017. 3. 6,160000
2017. 3. 7,159800
2017. 3. 8,160000
2017. 3. 9,157800
2017. 3. 10,160000
2017. 3. 13,165200
2017. 3. 14,163000
2017. 3. 15,164000
2017. 3. 16,163800
2017. 3. 17,165400
2017. 3. 20,163600
2017. 3. 21,174200
2017. 3. 22,169800
2017. 3. 23,172800
2017. 3. 24,174400
2017. 3. 27,177000
2017. 3. 28,170600
2017. 3. 29,172800
2017. 3. 30,172200
2017. 3. 31,171000
2017. 4. 3,174600
2017. 4. 4,170000
2017. 4. 5,168600
2017. 4. 6,168000
2017. 4. 7,165600
2017. 4. 10,163600
2017. 4. 11,154000
2017. 4. 12,153600
2017. 4. 13,160400
2017. 4. 14,157400
2017. 4. 17,157000
2017. 4. 18,155600
2017. 4. 19,155400
2017. 4. 20,159200
2017. 4. 21,162600
2017. 4. 24,162000
2017. 4. 25,163000
2017. 4. 26,161400
2017. 4. 27,158200
2017. 4. 28,160000
2017. 5. 2,160200
2017. 5. 4,164600
2017. 5. 8,169000
2017. 5. 10,164800
2017. 5. 11,173200
2017. 5. 12,169600
2017. 5. 15,167800
2017. 5. 16,167800
2017. 5. 17,166400
2017. 5. 18,164800
2017. 5. 19,166400
2017. 5. 22,169400
2017. 5. 23,168400
2017. 5. 24,170400
2017. 5. 25,170400
2017. 5. 26,171000
2017. 5. 29,171200
2017. 5. 30,170400
2017. 5. 31,169000
2017. 6. 1,168400
2017. 6. 2,172800
2017. 6. 5,175200
2017. 6. 7,175200
