"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2020","455.04","449.40","457.47","447.35","4.20M","1.74%"
"Jun 29, 2020","447.24","445.36","447.54","432.14","4.84M","0.87%"
"Jun 26, 2020","443.40","466.48","467.89","442.32","6.80M","-4.83%"
"Jun 25, 2020","465.91","458.89","466.85","454.00","4.13M","1.76%"
"Jun 24, 2020","457.85","467.84","472.28","454.01","4.83M","-1.80%"
"Jun 23, 2020","466.26","466.50","474.01","464.56","5.95M","-0.38%"
"Jun 22, 2020","468.04","455.08","468.50","454.87","6.27M","3.16%"
"Jun 19, 2020","453.72","450.74","453.95","445.72","5.93M","0.86%"
"Jun 18, 2020","449.87","448.72","452.60","442.80","4.28M","0.47%"
"Jun 17, 2020","447.77","441.52","450.40","439.47","6.53M","2.67%"
"Jun 16, 2020","436.13","426.00","437.63","425.56","5.51M","2.50%"
"Jun 15, 2020","425.50","421.28","426.46","415.51","4.47M","1.78%"
"Jun 12, 2020","418.07","429.00","434.06","412.45","6.46M","-1.76%"
"Jun 11, 2020","425.56","427.20","445.48","424.26","7.46M","-2.05%"
"Jun 10, 2020","434.48","436.00","439.44","430.70","4.90M","0.10%"
"Jun 09, 2020","434.05","421.31","434.73","420.79","6.80M","3.47%"
"Jun 08, 2020","419.49","416.33","420.74","406.63","5.85M","-0.03%"
"Jun 05, 2020","419.60","407.29","420.24","404.25","5.10M","1.27%"
"Jun 04, 2020","414.33","421.98","428.57","410.16","5.41M","-1.81%"
"Jun 03, 2020","421.97","426.71","426.77","418.23","4.32M","-1.25%"
"Jun 02, 2020","427.31","425.77","427.51","419.52","3.49M","0.33%"
"Jun 01, 2020","425.92","418.82","426.67","416.50","3.75M","1.47%"
"May 29, 2020","419.73","417.46","420.30","411.85","5.27M","1.52%"
"May 28, 2020","413.44","416.67","422.30","411.65","5.66M","-1.54%"
"May 27, 2020","419.89","409.23","420.01","397.93","10.45M","1.23%"
"May 26, 2020","414.77","427.73","427.79","413.14","7.88M","-3.39%"
"May 22, 2020","429.32","437.00","439.09","427.18","5.42M","-1.59%"
"May 21, 2020","436.25","448.55","448.55","430.25","9.12M","-2.55%"
"May 20, 2020","447.67","454.25","455.74","444.09","5.61M","-0.75%"
"May 19, 2020","451.04","453.39","458.76","450.51","4.81M","-0.34%"
"May 18, 2020","452.58","451.64","456.29","443.40","7.78M","-0.35%"
"May 15, 2020","454.19","440.89","455.00","437.56","7.24M","2.77%"
"May 14, 2020","441.95","444.73","452.03","432.89","9.01M","0.84%"
"May 13, 2020","438.27","435.46","446.95","427.49","7.01M","1.49%"
"May 12, 2020","431.82","442.00","444.17","431.36","4.60M","-1.97%"
"May 11, 2020","440.52","436.33","444.89","435.56","5.49M","1.14%"
"May 08, 2020","435.55","434.14","442.00","433.64","5.05M","-0.22%"
"May 07, 2020","436.53","436.89","438.88","430.66","5.65M","0.52%"
"May 06, 2020","434.26","429.30","439.77","426.39","6.66M","2.26%"
"May 05, 2020","424.68","427.55","431.00","421.56","6.29M","-0.81%"
"May 04, 2020","428.15","417.78","428.54","414.87","7.80M","3.10%"
"May 01, 2020","415.27","415.10","427.97","411.73","8.30M","-1.09%"
"Apr 30, 2020","419.85","410.31","424.44","408.00","7.95M","1.93%"
"Apr 29, 2020","411.89","399.53","415.86","393.60","9.69M","2.00%"
"Apr 28, 2020","403.83","419.99","421.00","402.91","10.10M","-4.16%"
"Apr 27, 2020","421.38","425.00","429.00","420.84","6.28M","-0.85%"
"Apr 24, 2020","424.99","425.00","427.17","415.88","8.67M","-0.40%"
"Apr 23, 2020","426.70","419.26","438.41","419.26","13.95M","1.25%"
"Apr 22, 2020","421.42","429.73","433.00","413.00","21.12M","-2.86%"
"Apr 21, 2020","433.83","444.77","447.00","425.60","23.18M","-0.84%"
"Apr 20, 2020","437.49","435.17","444.49","430.56","12.66M","3.44%"
"Apr 17, 2020","422.96","431.00","432.00","414.70","12.62M","-3.69%"
"Apr 16, 2020","439.17","437.00","449.52","431.61","16.13M","2.91%"
"Apr 15, 2020","426.75","413.00","434.98","412.25","13.56M","3.19%"
"Apr 14, 2020","413.55","397.50","417.82","394.85","11.58M","4.24%"
"Apr 13, 2020","396.72","371.31","400.51","367.70","11.69M","7.01%"
"Apr 09, 2020","370.72","371.06","372.10","363.03","7.71M","-0.11%"
"Apr 08, 2020","371.12","374.01","378.39","368.31","6.91M","-0.31%"
"Apr 07, 2020","372.28","380.00","381.33","369.34","7.05M","-2.02%"
"Apr 06, 2020","379.96","365.22","380.29","361.71","8.18M","5.03%"
"Apr 03, 2020","361.76","367.47","370.90","357.51","4.86M","-2.25%"
"Apr 02, 2020","370.08","364.08","370.99","360.06","4.59M","1.65%"
"Apr 01, 2020","364.08","376.05","380.23","361.02","6.67M","-3.04%"
"Mar 31, 2020","375.50","367.93","383.01","366.44","9.37M","1.22%"
"Mar 30, 2020","370.96","363.00","377.80","361.17","8.62M","3.88%"
"Mar 27, 2020","357.12","359.38","368.45","353.20","7.95M","-1.62%"
"Mar 26, 2020","362.99","342.29","363.78","342.29","7.24M","6.02%"
"Mar 25, 2020","342.39","360.98","361.78","339.28","8.77M","-4.18%"
"Mar 24, 2020","357.32","369.91","372.05","353.21","11.64M","-0.82%"
"Mar 23, 2020","360.27","347.89","366.11","340.88","13.45M","8.24%"
"Mar 20, 2020","332.83","342.31","350.49","332.00","10.85M","0.24%"
"Mar 19, 2020","332.03","324.06","348.38","316.87","10.62M","5.25%"
"Mar 18, 2020","315.47","300.77","331.50","300.03","12.59M","-1.34%"
"Mar 17, 2020","319.75","306.19","322.90","290.25","10.01M","7.00%"
"Mar 16, 2020","298.84","306.63","334.35","294.75","10.56M","-11.14%"
"Mar 13, 2020","336.30","330.51","336.42","307.39","9.46M","6.68%"
"Mar 12, 2020","315.25","326.50","335.72","307.32","12.07M","-9.91%"
